,place_name,tour_element,tour_element_name,,,,,,,,,,,,
0,달마사,음식점,889,,,,,,,,,,,,
1,달마사,음식점,홍익돈까스 중앙대점,,,,,,,,,,,,
2,달마사,음식점,,,,,,,,,,,,,
3,달마사,음식점,마루스시,,,,,,,,,,,,
4,달마사,음식점,동경야네,,,,,,,,,,,,
5,달마사,음식점,사리원,,,,,,,,,,,,
6,달마사,음식점,청년다방 숭실대점,,,,,,,,,,,,
7,달마사,음식점,흑수돈,,,,,,,,,,,,
8,달마사,음식점,고렝,,,,,,,,,,,,
9,달마사,음식점,다가미,,,,,,,,,,,,
10,달마사,음식점,망향비빔국수 동작점,,,,,,,,,,,,
11,달마사,음식점,쉐프의 목장,,,,,,,,,,,,
12,달마사,음식점,불타는꼬꼬발 숭실대점,,,,,,,,,,,,
13,달마사,음식점,수목식당,,,,,,,,,,,,
14,달마사,음식점,라이스&포테이토,,,,,,,,,,,,
15,달마사,음식점,현선이네,,,,,,,,,,,,
16,달마사,음식점,풍년집정육식당 숭실대점,,,,,,,,,,,,
17,달마사,음식점,황궁쟁반짜장,,,,,,,,,,,,
18,달마사,음식점,오시오떡볶이,,,,,,,,,,,,
19,달마사,음식점,황새골손칼국수,,,,,,,,,,,,
20,달마사,음식점,응급실국물떡볶이 숭실대점,,,,,,,,,,,,
21,달마사,음식점,,,,,,,,,,,,,
22,달마사,음식점,스시초이,,,,,,,,,,,,
23,달마사,음식점,피탕김탕 상도점,,,,,,,,,,,,
24,달마사,음식점,침사추이,,,,,,,,,,,,
25,달마사,음식점,가야로스트보쌈 상도본점,,,,,,,,,,,,
26,달마사,음식점,다채 상도점,,,,,,,,,,,,
27,달마사,음식점,신전떡볶이 숭실대점,,,,,,,,,,,,
28,달마사,음식점,삼목등심,,,,,,,,,,,,
29,달마사,음식점,광어삼촌,,,,,,,,,,,,
30,달마사,음식점,The Kone,,,,,,,,,,,,
31,달마사,음식점,유유초밥,,,,,,,,,,,,
32,달마사,음식점,김가네김밥 숭실대점,,,,,,,,,,,,
33,달마사,음식점,내가찜한닭 숭실대점,,,,,,,,,,,,
34,달마사,음식점,백채김치찌개 중앙대점,,,,,,,,,,,,
35,달마사,음식점,중대양곱창,,,,,,,,,,,,
36,달마사,음식점,갈매울 감자탕,,,,,,,,,,,,
37,달마사,음식점,올바른식당,,,,,,,,,,,,
38,달마사,음식점,김가네김밥 상도역점,,,,,,,,,,,,
39,달마사,음식점,동대문엽기떡볶이 숭실대점,,,,,,,,,,,,
40,달마사,음식점,,,,,,,,,,,,,
41,달마사,음식점,종부네,,,,,,,,,,,,
42,달마사,음식점,영양족발보쌈,,,,,,,,,,,,
43,달마사,음식점,가네미,,,,,,,,,,,,
44,달마사,음식점,퓨전탕수육,,,,,,,,,,,,
45,달마사,음식점,고추동제면소,,,,,,,,,,,,
46,달마사,음식점,채홍,,,,,,,,,,,,
47,달마사,음식점,미담길 숭실대직영점,,,,,,,,,,,,
48,달마사,음식점,밀짚모자,,,,,,,,,,,,
49,달마사,음식점,스타동,,,,,,,,,,,,
50,달마사,음식점,논두렁갈비,,,,,,,,,,,,
51,달마사,음식점,상도정,,,,,,,,,,,,
52,달마사,음식점,속초항속초물회,,,,,,,,,,,,
53,달마사,음식점,준호네즉석떡볶이,,,,,,,,,,,,
54,달마사,음식점,코웍비스트로,,,,,,,,,,,,
55,달마사,음식점,함지박,,,,,,,,,,,,
56,달마사,음식점,들풀,,,,,,,,,,,,
57,달마사,음식점,아라쭈꾸미 숭실대점,,,,,,,,,,,,
58,달마사,음식점,강남교자 상도점,,,,,,,,,,,,
59,달마사,음식점,,,,,,,,,,,,,
60,달마사,음식점,딱좋아,,,,,,,,,,,,
61,달마사,음식점,고기스토리 숭실대점,,,,,,,,,,,,
62,달마사,음식점,허수아비,,,,,,,,,,,,
63,달마사,음식점,일인삼겹맛구요 숭실대본점,,,,,,,,,,,,
64,달마사,음식점,재팔이네닭발 숭실대점,,,,,,,,,,,,
65,달마사,음식점,더진국 숭실대점,,,,,,,,,,,,
66,달마사,음식점,순대나라,,,,,,,,,,,,
67,달마사,음식점,명품고향삼계탕,,,,,,,,,,,,
68,달마사,음식점,멘동 숭실대점,,,,,,,,,,,,
69,달마사,음식점,고씨네 중앙대점,,,,,,,,,,,,
70,달마사,음식점,아키라,,,,,,,,,,,,
71,달마사,음식점,취향,,,,,,,,,,,,
72,달마사,음식점,남도한정식 자담상,,,,,,,,,,,,
73,달마사,음식점,상도명태명가 본점,,,,,,,,,,,,
74,달마사,음식점,엉터리생고기 숭실대점,,,,,,,,,,,,
75,달마사,음식점,해오름갈비,,,,,,,,,,,,
76,달마사,음식점,도쿄라멘3900 숭실대점,,,,,,,,,,,,
77,달마사,음식점,더진국 중앙대점,,,,,,,,,,,,
78,달마사,음식점,이삭토스트 숭실대점,,,,,,,,,,,,
79,달마사,음식점,사철싱싱회,,,,,,,,,,,,
80,달마사,음식점,상도늘보리 흑석점,,,,,,,,,,,,
81,달마사,음식점,배달삼겹직구삼 상도직영점,,,,,,,,,,,,
82,달마사,음식점,준호가만드는즉석떡볶이,,,,,,,,,,,,
83,달마사,음식점,청솔막창,,,,,,,,,,,,
84,달마사,음식점,두찜 동작상도1호점,,,,,,,,,,,,
85,달마사,음식점,본죽 숭실대역점,,,,,,,,,,,,
86,달마사,음식점,늘푸른수제돈까스,,,,,,,,,,,,
87,달마사,음식점,걸작떡볶이치킨 상도점,,,,,,,,,,,,
88,달마사,음식점,내담대구탕 숭실대역점,,,,,,,,,,,,
89,달마사,음식점,케이콜라보김밥 상도역점,,,,,,,,,,,,
90,달마사,음식점,미가양꼬치,,,,,,,,,,,,
91,달마사,음식점,평안도찹쌀순대 중앙대병원점,,,,,,,,,,,,
92,달마사,음식점,봉평면옥,,,,,,,,,,,,
93,달마사,음식점,아바디,,,,,,,,,,,,
94,달마사,음식점,김가네김밥 중앙대점,,,,,,,,,,,,
95,달마사,음식점,죽이야기 중앙대병원점,,,,,,,,,,,,
96,달마사,음식점,신룽푸마라탕 중앙대점,,,,,,,,,,,,
97,달마사,음식점,,,,,,,,,,,,,
98,달마사,음식점,명태촌 숭실대점,,,,,,,,,,,,
99,달마사,음식점,우마이,,,,,,,,,,,,
100,달마사,음식점,카페복희씨,,,,,,,,,,,,
101,달마사,음식점,미주알고주알,,,,,,,,,,,,
102,달마사,음식점,찌개대학부대과,,,,,,,,,,,,
103,달마사,음식점,태능솔밭갈비,,,,,,,,,,,,
104,달마사,음식점,이모네식당,,,,,,,,,,,,
105,달마사,음식점,탕화쿵푸 숭실대점,,,,,,,,,,,,
106,달마사,음식점,신룽푸마라탕 숭실대점,,,,,,,,,,,,
