place_name,공원,관광명소,교통,쇼핑,숙소,술집,음식점,주차시설,카페,화장실,review
경복궁,24,43,59,237,237,222,285,238,237,115,8744
해동 용궁사,1,1,22,240,84,7,176,4,75,0,6667
불국사,3,3,20,188,210,9,244,5,73,3,5750
경주 불국사 ,3,2,20,188,210,12,244,3,73,3,5744
경주 첨성대,3,5,20,237,187,76,285,44,237,0,5517
경주 동궁과 월지,2,4,20,238,116,55,267,33,201,3,5402
한국민속촌,22,3,23,240,18,58,285,8,203,2,5261
북촌한옥마을,16,43,60,237,237,226,285,237,237,95,4488
덕수궁,28,36,60,237,236,224,285,236,237,158,4478
창경궁,20,34,60,237,237,224,285,237,237,145,4331
낙산사,0,1,10,83,173,4,126,1,25,8,4280
태종대,3,2,0,207,6,17,205,3,44,3,3791
통도사,2,2,20,26,14,6,57,0,18,5,3777
오죽헌,0,3,23,240,28,81,285,4,130,0,3165
전주전동성당,6,6,20,238,236,163,285,44,237,13,3092
여수 향일암,0,3,6,21,17,0,15,2,7,1,2785
봉은사,15,8,58,237,93,220,285,211,237,63,2640
광화문,42,48,60,240,237,222,285,237,237,218,2505
안동 하회마을 ,1,3,8,19,30,0,24,0,5,6,2503
보리암,0,1,4,2,2,0,3,0,1,1,2451
만어사,0,0,36,2,2,0,2,0,0,0,2391
광한루원,2,2,0,240,47,35,285,5,141,14,2364
부석사,0,2,28,12,12,0,10,2,4,2,2290
수원 화성,62,7,20,237,237,220,285,64,237,68,2157
삼성궁,0,0,5,3,12,0,16,1,1,1,2079
판문점,32,41,52,237,236,221,285,236,237,161,2078
순천 낙안읍성,0,2,52,14,50,1,32,0,5,8,2078
공주 공산성 ,8,4,0,238,66,99,285,33,196,22,2065
진주성,13,5,20,240,180,205,285,57,237,6,1978
해인사,0,1,0,19,24,0,31,0,4,8,1944
전등사,1,1,20,101,12,6,88,3,30,3,1913
월정사,0,1,0,3,6,0,16,0,3,0,1898
마곡사,0,2,20,12,25,1,33,0,4,3,1852
화엄사,0,2,4,2,8,3,17,0,5,2,1800
국립서울현충원,21,1,28,240,18,226,285,56,237,58,1788
선암사,0,4,14,10,16,0,14,0,4,4,1770
선암사,0,4,14,10,16,0,14,0,4,4,1760
아산 공세리성당,0,0,11,40,2,2,31,0,4,0,1750
서울 명동성당,28,36,2,237,237,221,285,237,237,178,1734
소쇄원,0,2,20,14,6,0,31,2,14,3,1720
휴휴암,1,2,0,17,66,8,29,0,21,2,1707
군산 신흥동 일본식가옥,9,5,20,240,73,73,285,34,201,3,1702
개심사,0,1,13,2,5,0,12,0,0,1,1696
